EmpID,EmpFirst,EmpLast,WarehouseID,SSN,DOB,StartDate,EndDate,Address,City,State,Zip,PositionID,Memo,Phone,Cell,Salary,HourlyRate,Review
15,John,Nader,WY-01,905346755,4/24/1992,8/1/2001,,321 Sturgis,Jackson Hole,WY,83001,3,,3075467135,3072468731,,11.25,8/1/2008
16,George,Medrano,WA-01,546570000,4/10/1994,10/15/2006,,3987 NW 87th Street #8,Seattle,WA,98124,6,,2063412024,2063241200,,11.25,10/15/2008
17,Rachel,Goodman,OR-01,978451342,6/21/1997,11/3/2004,,9876 Parker Street,Portland,OR,97204,5,On maternity leave through 12/2008,5032415756,5032175613,,12.75,1/15/2008
18,Shayla,Anderson,WA-01,926543210,9/28/1988,9/24/2003,,4321 Barton Cliff Drive,Seattle,WA,98124,6,,2063214571,2063218756,,12.5,9/15/2008
19,Alfonso,Ozmun,WA-01,946532100,5/30/1990,6/15/2005,,510 Immanuel Avenue,Seattle,WA,98126,5,,2063124024,2062497513,,12,2/28/2008
20,Sophia,Nunis,WA-01,987451372,12/12/1989,10/20/2006,,5471 Wyoming Springs Way,Spokane,WA,99214,6,,5093478992,5098973246,,12,1/15/2008
21,Dora,Nettles,WA-01,723246512,10/14/1988,10/21/2002,,24 Frontier Trail NE,Seattle,WA,98123,3,,2067546512,2065795462,,14.75,2/15/2008
22,Kristina,Romano,WA-01,704513547,6/20/1997,5/20/2001,,8 Anderson Loop,Seattle,WA,98113,4,,2062449876,2062748648,45000,,5/1/2008
23,Doug,Hearne,OR-01,722154321,5/21/1982,1/15/2004,,11 Lost Pine Trail,Portland,OR,97204,6,,5032462465,5037654354,,12.75,1/15/2008
24,Tom,Murphy,OR-01,701543216,6/5/1977,2/16/2004,,4007 James White Avenue,Portland,OR,97214,6,,5032471355,5037543257,,13,3/15/2008
25,Felicia,Castro,OR-01,724216452,9/14/1980,3/16/2005,,611 Montclaire Street,Portland,OR,97226,6,,5037543871,5034757135,,12.5,3/15/2008
26,Gene,Chiles,OR-01,954321642,7/5/1982,3/1/2004,,2506 Ferguson Lane #411,Portland,OR,97215,6,,5032798246,5032467835,,12.5,3/1/2008
27,Kirby,Meyer,OR-01,984651357,11/12/1980,5/31/2005,,110 Ponderosa,Portland,OR,97209,4,,5032716579,5032795132,42500,,12/15/2007
28,Jim,Bostic,OR-01,454006543,12/12/1979,7/6/2005,,1201 Chestnut Avenue #2,Portland,OR,97211,6,,5032715496,5032164573,,11.75,7/1/2008
29,Leland,McKeeman,WY-01,963124672,11/1/1978,9/25/2004,,79513 Airport Blvd.,Jackson Hole,WY,83005,3,,3072462135,3072462465,,14.5,9/1/2008
30,Wade,Ragland,WY-01,706324675,3/1/1980,9/25/2004,,9714 Circle Drive,Jackson Hole,WY,83005,4,,3072749264,3072243241,43500,,9/1/2008
31,Cynthia,Zucker,WY-01,705315790,8/22/1967,6/22/2001,,304 Ridgewood Drive #1,Jackson Hole,WY,83002,6,,3075556432,3072465796,,11.5,6/1/2007
32,Lisa,Virr,WY-01,421001579,11/28/1980,11/16/2006,,10086 Wells Parkway,Jackson Hole,WY,83010,5,,3072746313,3072154324,,11.5,11/15/2007
33,Shane,Pichardo,WY-01,987465137,12/14/1983,1/29/2006,,8301 Alvin High Blvd.,Jackson Hole,WY,83011,6,,3075553216,3072468763,,11.5,1/15/2007
34,Richard,Pena,WY-01,716543272,2/24/1981,4/26/2006,,5713 Mystic Street,Jackson Hole,WY,83012,6,,3072456876,3072132762,,11.75,11/25/2007
35,Jason,Collins,WY-01,722165711,10/14/1980,8/1/2005,,10275 Sam Bass Road,Jackson Hole,WY,83012,6,,3072623546,3072664533,,11.85,8/1/2007
